name,free_bikes,latitude,longitude
Hayter St / La Plante Ave,0,43.6591666666667,-79.3855555555556
Seaton St / Dundas St E - SMART,19,43.658777,-79.369596
Lundy Ave / Étienne Brûlé Park,6,43.6625395,-79.5030161
Chiltern Hill Rd / Eglinton Ave W,0,43.7004017,-79.4275305
Torresdale Ave / Antibes Dr,3,43.77953,-79.45233
Esther Shiner Stadium,2,43.7774374,-79.4447096
St. George St / Hoskin Ave,0,43.6637403,-79.39806449999999
Fleming Cres / Bayview Ave,8,43.707045,-79.375437
King St E / Victoria St,16,43.6495789,-79.3762096
Alameda Ave / Vaughan Rd - SMART,2,43.690903,-79.4375028
Adelaide St W / Strachan Ave,13,43.643253094827294,-79.41230469904167
Royal York Rd / Lake Shore Blvd W,12,43.6029904,-79.4926867
Runnymede Rd / Annette St,12,43.6596299,-79.4799176
Salem Ave / Bloor St W,1,43.6608333,-79.43166666666667
Dufferin St / Bloor St W,0,43.66083333333333,-79.43583333333333
Davisville Ave / Pailton Cres,1,43.69933,-79.39199
High Park Ave / Dundas St W,0,43.6653032,-79.4701178
Judson St / Royal York Rd,11,43.6162721,-79.4990363
Wilket Creek Park,7,43.720645,-79.355474
Annette St / Dundas St W,8,43.6641174,-79.4588522
Noble St / Queen St W,13,43.6424558,-79.4296346
Oriole Pkwy / Kilbarry Rd,5,43.6954486,-79.4026176
East Lynn Ave / Danforth Ave,4,43.6850809,-79.3149901
Langford Ave / Danforth Ave - SMART,5,43.6800218,-79.3405681
University of Toronto Scarborough,0,43.7842419,-79.1849889
190 Queens Quay E,2,43.6451308,-79.36536439999999
324 Cherry St,17,43.6482995,-79.3552533
Elm St/ University Ave (East Side),1,43.65637299999999,-79.38781039999999
Walton St / Elizabeth St - SMART,1,43.657838,-79.38631
Waterfront Trail (Rouge Hill),1,43.778015,-79.131911
St Clair Ave W / Gunns Rd,1,43.672079,-79.470171
Pape Ave / Gamble Ave,9,43.690237,-79.350119
Roehampton Ave / Mount Pleasant Rd,3,43.70942,-79.39139
Church St / Bloor St E,3,43.671389,-79.382919
200 Bloor St E,0,43.671561,-79.38117
Bloor St W / Balmuto St,7,43.669903,-79.387802
Moore Park,7,43.693256,-79.383238
Bloor St W / Pacific Ave,3,43.65412449999999,-79.4636388
Danforth Ave / Dewhurst Blvd,11,43.680207,-79.339243
Bloor St W / Brock Ave,2,43.6589882,-79.438715
Davenport Rd / Dovercourt Rd - SMART,1,43.6741219,-79.4352208
1 Market St - SMART,11,43.6469928,-79.3706665
Brick Works,21,43.683884,-79.36647
University Ave / Gerrard St W (WEST) - SMART,0,43.6578449,-79.3899265
University Ave / King St W - SMART,8,43.6477785,-79.3847928
Amroth Ave / Danforth Ave,7,43.6856128,-79.31168269999999
Summerhill Subway Station,3,43.681944,-79.390556
Highfield Rd / Gerrard St E,15,43.671771,-79.324961
Niagara St / Richmond St W,22,43.64534,-79.409597
Beaty Ave / Queen St W,13,43.6393107,-79.4408141
Blantyre Park,3,43.68306889999999,-79.279682
Queen St E / Rushbrooke Ave,15,43.6626628,-79.3323698
Donlands Subway Station,7,43.681114,-79.3373885
Lynn Williams St / East Liberty St - SMART,3,43.638925,-79.4168659
Eastwood Rd / Woodbine Ave - SMART,4,43.676216,-79.309395
Victoria St / Queen St E,11,43.652822,-79.378208
285 Victoria St,38,43.656633,-79.379625
Gerrard St E / Victoria Park Ave - SMART,3,43.686962,-79.286864
Kilgour Rd / Rumsey Rd,9,43.718039,-79.371914
Bay St / Scollard St,6,43.672152,-79.39018
Weston Rd / St Clair Ave W - SMART,2,43.673019,-79.467994
Sunnybrook Health Centre - L Wing,0,43.72268,-79.37644
Dundas St W / St Helen's Ave - SMART,2,43.6504218,-79.4407647
Yonge St / St Clair Ave,0,43.68850459999999,-79.3940052
Spadina Ave / Blue Jays Way,20,43.641705,-79.393295
Bloor St W / Riverside Dr,2,43.647663,-79.487583
Sunnybrook Health Centre - S Wing,0,43.720998,-79.377456
Yonge St / Woburn Ave - SMART,2,43.72814640000001,-79.4032194
Simcoe St / Michael Sweet Ave,0,43.652327224103,-79.3882538196087
Queen St W / Dovercourt Rd,10,43.6438602,-79.4227573
Yonge St / Montgomery Ave - SMART,2,43.7093201,-79.3996301
King's Mill Park,5,43.64920406876699,-79.49336334201408
